name,degree,year
Warner Baxter,11,1927
Lewis Stone,11,1927
Joan Crawford,11,1927
Erich von Stroheim,9,1927
King Vidor,9,1927
Ronald Colman,9,1927
Victor McLaglen,9,1927
Louise Dresser,9,1927
Ernst Lubitsch,8,1927
Norma Shearer,8,1927
Clark Gable,8,1927
Gary Cooper,8,1927
Robert Z. Leonard,7,1927
Ethel Barrymore,7,1927
Alice Brady,7,1927
Corinne Griffith,7,1927
Richard Dix,7,1927
Mervyn LeRoy,7,1927
John Ford,6,1927
Sessue Hayakawa,6,1927
Joseph Schildkraut,6,1927
Janet Gaynor,6,1927
Emil Jannings,5,1927
W. S. Van Dyke,5,1927
Frank Morgan,5,1927
Lewis Milestone,5,1927
H. B. Warner,4,1927
George Stevens,4,1927
Wesley Ruggles,4,1927
Marjorie Rambeau,4,1927
Clifton Webb,4,1927
Victor Schertzinger,4,1927
