index,year_ceremony,category,name,film,winner,nconst,birthYear,deathYear,primaryProfession,ceremonyAge,alive,currentYear,currentAge,gender
34988,2007,ACTOR IN A LEADING ROLE,Ryan Gosling,Half Nelson,False,nm0331516,1980,0,"actor,soundtrack,producer",27,True,2021,41,M
34989,2017,ACTOR IN A LEADING ROLE,Ryan Gosling,La La Land,False,nm0331516,1980,0,"actor,soundtrack,producer",37,True,2021,41,M
34990,2007,ACTOR IN A LEADING ROLE,Forest Whitaker,The Last King of Scotland,True,nm0001845,1961,0,"actor,producer,director",46,True,2021,60,M
34991,2007,ACTOR IN A SUPPORTING ROLE,Jackie Earle Haley,Little Children,False,nm0355097,1961,0,"actor,director,writer",46,True,2021,60,M
34992,2007,ACTOR IN A SUPPORTING ROLE,Eddie Murphy,Dreamgirls,False,nm0000552,1961,0,"actor,writer,producer",46,True,2021,60,M
34996,2007,ACTOR IN A SUPPORTING ROLE,Mark Wahlberg,The Departed,False,nm0000242,1971,0,"producer,actor,soundtrack",36,True,2021,50,M
35153,2008,ACTOR IN A LEADING ROLE,Viggo Mortensen,Eastern Promises,False,nm0001557,1958,0,"actor,soundtrack,producer",50,True,2021,63,M
35154,2017,ACTOR IN A LEADING ROLE,Viggo Mortensen,Captain Fantastic,False,nm0001557,1958,0,"actor,soundtrack,producer",59,True,2021,63,M
35155,2019,ACTOR IN A LEADING ROLE,Viggo Mortensen,Green Book,False,nm0001557,1958,0,"actor,soundtrack,producer",61,True,2021,63,M
35156,2008,ACTOR IN A SUPPORTING ROLE,Casey Affleck,The Assassination of Jesse James by the Coward Robert Ford,False,nm0000729,1975,0,"actor,producer,writer",33,True,2021,46,M
35157,2017,ACTOR IN A LEADING ROLE,Casey Affleck,Manchester by the Sea,True,nm0000729,1975,0,"actor,producer,writer",42,True,2021,46,M
35158,2008,ACTOR IN A SUPPORTING ROLE,Hal Holbrook,Into the Wild,False,nm0001358,1925,2021,"actor,director,writer",83,False,2021,0,M
35221,2009,ACTOR IN A LEADING ROLE,Richard Jenkins,The Visitor,False,nm0003496,1947,0,"assistant_director,miscellaneous,location_management",0,False,2021,0,M
35255,2018,ACTOR IN A SUPPORTING ROLE,Richard Jenkins,The Shape of Water,False,nm0003496,1947,0,"assistant_director,miscellaneous,location_management",0,False,2021,0,M
35289,2009,ACTOR IN A LEADING ROLE,Frank Langella,Frost/Nixon,False,nm0001449,1938,0,"actor,soundtrack",71,True,2021,83,M
35290,2009,ACTOR IN A LEADING ROLE,Mickey Rourke,The Wrestler,False,nm0000620,1952,0,"actor,writer,producer",57,True,2021,69,M
35291,2009,ACTOR IN A SUPPORTING ROLE,Josh Brolin,Milk,False,nm0000982,1968,0,"actor,producer,writer",41,True,2021,53,M
35292,2009,ACTOR IN A SUPPORTING ROLE,Michael Shannon,Revolutionary Road,False,nm0788332,1943,0,actor,66,True,2021,78,M
35316,2017,ACTOR IN A SUPPORTING ROLE,Michael Shannon,Nocturnal Animals,False,nm0788332,1943,0,actor,74,True,2021,78,M
35735,2010,ACTOR IN A LEADING ROLE,Colin Firth,A Single Man,False,nm0000147,1960,0,"actor,producer,soundtrack",50,True,2021,61,M
35736,2011,ACTOR IN A LEADING ROLE,Colin Firth,The King's Speech,True,nm0000147,1960,0,"actor,producer,soundtrack",51,True,2021,61,M
35737,2010,ACTOR IN A LEADING ROLE,Jeremy Renner,The Hurt Locker,False,nm0719637,1971,0,"actor,producer,soundtrack",39,True,2021,50,M
35738,2011,ACTOR IN A SUPPORTING ROLE,Jeremy Renner,The Town,False,nm0719637,1971,0,"actor,producer,soundtrack",40,True,2021,50,M
35739,2010,ACTOR IN A SUPPORTING ROLE,Christopher Plummer,The Last Station,False,nm0001626,1929,2021,"actor,soundtrack,producer",81,False,2021,0,M
35747,2012,ACTOR IN A SUPPORTING ROLE,Christopher Plummer,Beginners,True,nm0001626,1929,2021,"actor,soundtrack,producer",83,False,2021,0,M
35755,2018,ACTOR IN A SUPPORTING ROLE,Christopher Plummer,All the Money in the World,False,nm0001626,1929,2021,"actor,soundtrack,producer",89,False,2021,0,M
35763,2010,ACTOR IN A SUPPORTING ROLE,Stanley Tucci,The Lovely Bones,False,nm0001804,1960,0,"actor,producer,director",50,True,2021,61,M
35766,2010,ACTOR IN A SUPPORTING ROLE,Christoph Waltz,Inglourious Basterds,True,nm0910607,1956,0,"actor,director,soundtrack",54,True,2021,65,M
35767,2013,ACTOR IN A SUPPORTING ROLE,Christoph Waltz,Django Unchained,True,nm0910607,1956,0,"actor,director,soundtrack",57,True,2021,65,M
35842,2011,ACTOR IN A LEADING ROLE,Jesse Eisenberg,The Social Network,False,nm0251986,1983,0,"actor,producer,writer",28,True,2021,38,M
35843,2011,ACTOR IN A LEADING ROLE,James Franco,127 Hours,False,nm0290556,1978,0,"actor,producer,director",33,True,2021,43,M
35844,2011,ACTOR IN A SUPPORTING ROLE,Christian Bale,The Fighter,True,nm0000288,1974,0,"actor,editorial_department,producer",37,True,2021,47,M
35845,2014,ACTOR IN A LEADING ROLE,Christian Bale,American Hustle,False,nm0000288,1974,0,"actor,editorial_department,producer",40,True,2021,47,M
35846,2016,ACTOR IN A SUPPORTING ROLE,Christian Bale,The Big Short,False,nm0000288,1974,0,"actor,editorial_department,producer",42,True,2021,47,M
35847,2019,ACTOR IN A LEADING ROLE,Christian Bale,Vice,False,nm0000288,1974,0,"actor,editorial_department,producer",45,True,2021,47,M
35848,2011,ACTOR IN A SUPPORTING ROLE,John Hawkes,Winter's Bone,False,nm0370035,1959,0,"actor,soundtrack,music_department",52,True,2021,62,M
35855,2011,ACTOR IN A SUPPORTING ROLE,Mark Ruffalo,The Kids Are All Right,False,nm0749263,1967,0,"actor,producer,soundtrack",44,True,2021,54,M
